"glauben | vermuten","luulla | luulen | luulin | luullut [3]"
"kurz","lyhyt | lyhyen | lyhyttä | lyhyitä"
"Land","maa | maan | maata | maita"
"März","maaliskuu | maaliskuun | maalisktuuta | maaliskuita"
"Montag","maanantai | maanantain | maanantaita"
"Milch","maito | maidon | maitoa | maitoja"
"kosten | bezahlen | zahlen","maksaa | maksan | maksoin | maksanut [1]"
"November","marraskuu | marraskuun | marraskuuta | marraskuita"
"niedrig","matala | matalan | matalaa | matalia"
"wir","me | meidän | meitä"
"Email","meili | meilin | meiliä | meilejä"
"gehen | fahren | weggehen","mennä | menen | menin | mennyt [3]"
"gern | gerne","mielelläni | mielelläsi | mielellään | mielellämmä | mielellännä | mielellään"
"interessant","mielenkiintoinen | mielenkiintoisen | mielenkiintoista | mielenkiintoisia"
"Mann | Ehemann","mies | miehen | miestä | miehiä"
"wohin","mihin | minne"
"welcher | was","mikä | minkä | mitä | mitä"
"warum | wodurch","miksi"
"wie | was für ein","millainen | millaisen | missaista | missaisia"
"wann","milloin"
"ich auch","minäkin"
"was für ein","minkälainen | minkälaisen | minkälaista | minkälaisia"
"aus welchem Land","minkämaalainen | minkämaalaisen | minkämaalaista | minkämaalaisia"
"welches Aussehen","minkänäköinen | minkänäköisen | minkänäköistä | minkänäköisiä"
"welche Farbe","minkävärinen | minkävärisen | minkäväristä | minkävärisiä"
"wo","missä"
"in welchem Monat","missä kuussa"
"woher","mistä"
"wie geht's","mitä kuuluu"
"was kostet X | vie viel kostet X","Mitä X maksaa"
"wie [auf welche Weise]","miten | kuinka"
"um wie viel Uhr","moneltako"
"der wievielte","monesko"
"mancher | viel","moni | monen | monta | monia"
"wie viele","montako [+ Part]"
"[sich] erinnern","muistaa | muistan | muistin | muistanut [1]"
"Oma","mummo | mommon | mummoa | mummoja"
"schwarz","musta | mustan | mustaa | mustia"
"aber","mutta"
"anderer | anderes","muu | muun | muuta | muita"
"auch","myös"
"sehen","nähdä | näen | näin | nähnyt [2]"
"ledig | unverheiratet","naimaton | naimattoman | naimattonta | naimattomia"
"Frau","nainen | naisen | naista | naisia"
"auf wiedersehen","näkemiin"
"so ","niin | siten"
"Name","nimi | nimin | nimeä | nimiä"
"schnell","nopea | nopean | nopeaa | nopeita"
"schlafen","nukkua | nukun | nukuin | nukkunut [1]"
